Year;Discount Prices;Net Expected Damages;Expected Damages;Risk Premium;Expected SDF;Cross SDF & Damages;Discounted Expected Damages;Cov Term;Scaled Net Expected Damages;Scaled Risk Premiums
2015;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2020;0.89819283604673406;0.002286447005916248;-0.17119125471527497;9.8314991488725588e-06;0.89819283604673406;-0.15376119255459655;-0.96532232767074533;1.5660245150928009e-06;0.07403907601810715;0.00031836080651413728
2025;0.80675743936906141;0.0044231618796636216;-0.18398510789127132;1.9181904577274954e-05;0.80675743936906141;-0.14842829910707916;-0.93185178240085709;3.0554173233721116e-06;0.14322956875948881;0.00062114297313434414
2030;0.73326189533323394;0.0053963436677617578;0.001172247441194596;5.1954196751339773e-05;0.73326189533323394;0.00086783997965698913;0.0053963436677617578;8.2755991271059705e-06;0.17474286436703837;0.0016823660083871816
2035;0.65962904734473615;0.010807927909175044;0.0026098856391099101;0.00017676529716216662;0.65962904734473615;0.0017497126929894627;0.010807927909175044;2.8156315184684876e-05;0.34997924465122915;0.0057239635294798292
2040;0.59339702541704575;0.015856991503864368;0.0042565156936513748;0.00029802607097157709;0.59339702541704575;0.0025732752636050782;0.015856991503864368;4.7471512351379089e-05;0.513476584559029;0.0096505953853061443
2045;0.53381560816706775;0.020561519186936387;0.0061353980198908253;0.00041566293081457073;0.53381560816706775;0.0033413806944927143;0.020561519186936387;6.6209469157670411e-05;0.6658172606625965;0.013459878690762232
2050;0.48021694544331534;0.02493875641112063;0.0082721066062774185;0.0005296156148840768;0.48021694544331534;0.004056766353562757;0.02493875641112063;8.4360586714745701e-05;0.80755971030261964;0.017149862065167432
2055;0.43200025605778014;0.02900518482839114;0.010694745233830183;0.00063983784495070845;0.43200025605778014;0.004722050173015485;0.02900518482839114;0.000101917493528122;0.93923763764116852;0.02071904694007267
2060;0.39318954288240099;0.032674882689590255;0.013237040220903662;0.00090483147693865679;0.39318954288240099;0.0053487931797892435;0.032674882689590255;0.0001441273862161762;1.0580687490580403;0.029299995290199745
2065;0.35419874362330211;0.035821215557821397;0.016109130997751797;0.001101675729004187;0.35419874362330211;0.0058813159669454966;0.035821215557821397;0.00017548200667861884;1.1599524042691454;0.035674149821092502
2070;0.3190801973411313;0.038720049252131294;0.019329243605964441;0.0012952881163675262;0.3190801973411313;0.0063739006991588264;0.038720049252131294;0.00020632183491289206;1.2538216116907508;0.041943651029276885
2075;0.28744458364564218;0.041384079429815861;0.022932847326534445;0.0014852592602402873;0.28744458364564218;0.0068285044140132959;0.041384079429815861;0.00023658166242852396;1.3400874784830923;0.048095242527373183
2080;0.25894638406929843;0.043825868897595065;0.026958734072124457;0.001671208915834507;0.25894638406929843;0.0072470676284487213;0.043825868897595065;0.00026620092138630001;1.4191568098768768;0.054116611336909273
2085;0.2332743659005829;0.046057397102075362;0.031449314483306123;0.0018528017842667267;0.2332743659005829;0.0076314450973214527;0.046057397102075362;0.00029512620322019907;1.4914175209016913;0.059996899904897073
2090;0.2101481791126292;0.048090085367786799;0.036450939556981199;0.0020297443530045717;0.2101481791126292;0.007983409330207478;0.048090085367786799;0.00032331075536337194;1.5572394536369372;0.065726603792073165
2095;0.18931529115577614;0.049934821087285204;0.04201424995704528;0.0022017819189336374;0.18931529115577614;0.0083046539703726403;0.049934821087285204;0.00035071400706305871;1.6169751605288305;0.071297475274698194
2100;0.17276528178605655;0.051409824962352607;0.047398921804597816;0.0026650928530777256;0.17276528178605655;0.0086134012390473996;0.051409824962352607;0.00042451315712079864;1.6647383160931359;0.08630027804439025
