Year;Discount Prices;Net Expected Damages;Expected Damages;Risk Premium;Expected SDF;Cross SDF & Damages;Discounted Expected Damages;Cov Term;Scaled Net Expected Damages;Scaled Risk Premiums
2015;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2020;0.89817377845269042;0.0023198166181703766;-0.19044885405362644;2.7278241657582531e-05;0.89817377845269042;-0.17105133284331395;-0.96526842761730203;4.8340040166849896e-06;0.083810888718037532;0.00098551482823263249
2025;0.8067345651763167;0.0044877184058763056;-0.20467478769931047;5.2923244547448177e-05;0.8067345651763167;-0.16510884727697217;-0.93176067944015672;9.3785801859869178e-06;0.16213336216611415;0.0019120236162727159
2030;0.73375234524032984;0.0055220812387272956;0.0013336563085220021;8.786860561597945e-05;0.73375234524032984;0.00099414472609229173;0.0055220812387272956;1.5571281969711716e-05;0.19950306958140152;0.0031745379653751208
2035;0.66003511400650783;0.010908339509100091;0.0029287495854346535;0.00029785214329210331;0.66003511400650783;0.0019858602375988493;0.010908339509100091;5.2782671079975359e-05;0.39409909452964126;0.01076087335539987
2040;0.59374102788807059;0.015934257927331507;0.0047558200914177284;0.00049805661340335901;0.59374102788807059;0.0029119866115440503;0.015934257927331507;8.8261102014950375e-05;0.57567667525606392;0.017993908257349082
2045;0.53410590803997071;0.020617594981465186;0.0068407112096602329;0.00068874716402978744;0.53410590803997071;0.0037757178342013075;0.020617594981465186;0.00012205356192652225;0.74487739465716596;0.024883222004371784
2050;0.48046085163896024;0.024975474097583637;0.0092118396302742767;0.00087018485897810238;0.48046085163896024;0.0045801346281115892;0.024975474097583637;0.00015420631418848561;0.90231989195926898;0.031438246372014984
2055;0.43220415184855021;0.02902426144784917;0.011900436120132474;0.0010426293217240547;0.43220415184855021;0.0053281832668618766;0.02902426144784917;0.00018476536693216947;1.0485954481382449;0.037668361099204739
2060;0.39375103503893527;0.032716974414775543;0.014724550994249519;0.001327179820849393;0.39375103503893527;0.0060329980350441268;0.032716974414775543;0.00023519084057479524;1.1820066639708191;0.047948669477918246
2065;0.35467856989562352;0.035917700075660225;0.017945857108847552;0.0016404252187498007;0.35467856989562352;0.0066557123003516258;0.035917700075660225;0.00029070136543436764;1.2976432449316644;0.059265674011481036
2070;0.31949599539875895;0.038869004754300253;0.021559001167892333;0.0019414138959345582;0.31949599539875895;0.0072320544027072147;0.038869004754300253;0.00034403986476844693;1.4042686850880537;0.070139864812311103
2075;0.28780430141846547;0.041582943099609963;0.025604044774168999;0.0022302100248571071;0.28780430141846547;0.0077641719303574042;0.041582943099609963;0.00039521771064058436;1.5023184976744302;0.080573560318129789
2080;0.2592570258210859;0.044072152722137513;0.030124813315679511;0.0025069138063010658;0.2592570258210859;0.0082543221633686499;0.044072152722137513;0.00044425265973013512;1.5922492573023459;0.090570380606774081
2085;0.23354210094855934;0.046348687120713529;0.035169232308518428;0.0027716467341440867;0.23354210094855934;0.0087046626441659239;0.046348687120713529;0.00049116624208657769;1.6744964356557455;0.10013471503806667
2090;0.21037843829041644;0.048424040835821497;0.04078969282018674;0.0030245495219168696;0.21037843829041644;0.0091172552675496971;0.048424040835821497;0.00053598339369299863;1.7494753102379366;0.10927164734404494
2095;0.18951285237903648;0.050309173563373388;0.047043448428629731;0.0032657801641848092;0.18951285237903648;0.0094940702103773512;0.050309173563373388;0.00057873211292162885;1.8175818355598352;0.11798688559009417
2100;0.17352138384106922;0.051899003671184413;0.053002536344298745;0.0037345689977016563;0.17352138384106922;0.0098588800964440563;0.051899003671184413;0.00066180664289477303;1.8750195973219805;0.13492340050700449
2105;0.15597977408372393;0.052960221122006927;0.060168909054017505;0.0038907363535553843;0.15597977408372393;0.010074614054636645;0.052960221122006927;0.00068948121352686333;1.9133595147878157;0.14056545202966744
2110;0.14021588297448465;0.053898163173497327;0.068118862652113976;0.0040327256159704596;0.14021588297448465;0.010265989744268452;0.053898163173497327;0.00071464327028464628;1.9472457091902977;0.14569527400706656
2115;0.12604542264953511;0.054718356779637704;0.07693015410865367;0.0041613260084785277;0.12604542264953511;0.010434126461365037;0.054718356779637704;0.00073743267224591486;1.9768778596426437;0.15034137969540767
2120;0.1133072998189518;0.055427517411208611;0.086687837918547617;0.0042772346440595336;0.1133072998189518;0.010580337797180629;0.055427517411208611;0.00075797295548705665;2.0024985842767653;0.15452895455889018
2125;0.10185671025171199;0.056032045867857538;0.097484926610785783;0.0043811190389177052;0.10185671025171199;0.010705876334914958;0.056032045867857538;0.00077638241121074335;2.0243391327107405;0.15828211478233309
2130;0.091563491415198525;0.056538041748728264;0.10942310954131784;0.0044736182213655105;0.091563491415198525;0.01081193623336313;0.056538041748728264;0.00079277428225234606;2.0426198727189262;0.16162394733319943
2135;0.08231064174548107;0.056951316375448299;0.12261353501699657;0.0045553438033620114;0.08231064174548107;0.010899655706899304;0.056951316375448299;0.00080725695296830074;2.0575507571167364;0.16457654867438981
2140;0.07399298969078251;0.057277405188762003;0.13717766122814945;0.0046268810158469204;0.07399298969078251;0.01097011940576879;0.057277405188762003;0.0008199341327086735;2.0693317716291624;0.16716106216903837
2145;0.06651599737626808;0.057521579639826972;0.15324818193549472;0.0046887897089216988;0.06651599737626808;0.011024360700599457;0.057521579639826972;0.00083090503306023668;2.0781533645023673;0.16939771421529434
2150;0.059794685271393783;0.057688858595961144;0.17097003336297711;0.0047416053179616191;0.059794685271393783;0.011063363874831048;0.057688858595961144;0.00084026453905213655;2.0841968585732427;0.17130584915024938
2155;0.053752665619010438;0.057784019279880625;0.19050148929713462;0.0047858397966664421;0.053752665619010438;0.011088066228615094;0.057784019279880625;0.00084810337450272159;2.0876348464848036;0.17290396295941515
2160;0.048321273623924153;0.057811607761171842;0.21201535199037447;0.0048219825180683216;0.048321273623924153;0.011099360097687515;0.057811607761171842;0.00085450826168803791;2.0886315697246007;0.17420973582855212
2165;0.043438786511793843;0.057775949017372416;0.2357002471093661;0.004850501144473226;0.043438786511793843;0.011098094790465812;0.057775949017372416;0.00085956207550500451;2.0873432821138516;0.17524006357312094
2170;0.039049721569774286;0.057681156581848234;0.26176203167090906;0.004871842467294738;0.039049721569774286;0.011085078446586624;0.057681156581848234;0.00086334399229918632;2.083918598368248;0.17601108797999848
2175;0.035104205179599779;0.057531141794912082;0.29042532466638793;0.0048864332176920969;0.035104205179599779;0.01106107981995952;0.057531141794912082;0.00086592963351875794;2.0784988283245789;0.17653822609440262
2180;0.031557405662087798;0.057329622673686367;0.32193517089698087;0.0048946808489416689;0.031557405662087798;0.011026829989248909;0.057329622673686367;0.00086739120435932147;2.0712182973932478;0.17683619848559551
2185;0.028369023478540187;0.057080132416055765;0.35655884943504024;0.0048969742914110933;0.028369023478540187;0.010983023998657549;0.057080132416055765;0.00086779762755361672;2.0622046537911061;0.17691905652276993
2190;0.025502832987504411;0.056786027553148891;0.39458783909203099;0.0048936846809883782;0.025502832987504411;0.010930322431721488;0.056786027553148891;0.0008672146724571575;2.0515791630762572;0.17680020869190935
2195;0.022926270542271275;0.056450495764371708;0.43633995432126316;0.004885166061821415;0.022926270542271275;0.010869352920752961;0.056450495764371708;0.00086570507958139142;2.0394569904914484;0.17649244598452915
2200;0.019692170256755116;0.057310349697509311;0.51573916279509247;0.0031726253867349827;0.019692170256755116;0.01071824746508262;0.057310349697509311;0.00056222406324531529;2.0705219987078305;0.11462136754644871
2205;0.017659141902072076;0.054568428668079996;0.54759879810279966;0.0029648142818282431;0.017659141902072076;0.010195522534182915;0.054568428668079996;0.00052539765308145907;1.9714612210277436;0.10711351832626005
2210;0.015836367729132848;0.051944175998468511;0.58126198150442177;0.002768888662169434;0.015836367729132848;0.0096957559675094028;0.051944175998468511;0.00049067748144096361;1.8766515939485622;0.10003507075518096
2215;0.014201767170668353;0.049431743672030348;0.61681393439914078;0.002584704775974445;0.014201767170668353;0.0092178859578893706;0.049431743672030348;0.00045803807392886912;1.7858818389285367;0.093380831334429398
2220;0.012735911406186651;0.047026667382585839;0.65434201643733703;0.0024116402571098656;0.012735911406186651;0.0087610110911223865;0.047026667382585839;0.00042736914043093287;1.6989906684480001;0.087128315071725956
2225;0.011421377912405769;0.04472465395575425;0.69393552594040342;0.0022491028589262342;0.011421377912405769;0.0083242656169456725;0.04472465395575425;0.00039856572833626806;1.6158229776777804;0.081256125138699453
2230;0.01024254325620607;0.042521574968656724;0.73568545500379834;0.0020965290883638355;0.01024254325620607;0.007906818076323938;0.042521574968656724;0.0003715279804858895;1.5362296139703062;0.075743903523534939
2235;0.0091853972905263422;0.040413460602828855;0.779684193337149;0.0019533828991315284;0.0091853972905263422;0.007507869980534914;0.040413460602828855;0.00034616090358964915;1.4600671547761632;0.070572283817826403
2240;0.0082373765421384273;0.038396493721755978;0.82602517422991628;0.0018191544414901449;0.0082373765421384273;0.0071266545400914434;0.038396493721755978;0.00032237414667412364;1.3871976936758761;0.065722846048452882
2245;0.0073872148086833586;0.03646700416511138;0.87480245530954237;0.0016933588662789876;0.0073872148086833586;0.0067624354416781869;0.03646700416511138;0.00030008178914297384;1.3174886342407828;0.061178073469162084
2250;0.0066248091871940109;0.034621463251786777;0.92611022595353587;0.0015755351809107849;0.0066248091871940109;0.0064145056712979929;0.034621463251786777;0.00027920213804668702;1.2508124914372081;0.056921311229683094
2255;0.0059410999400040451;0.032856478484272561;0.98004223233844057;0.0014652451551637026;0.0059410999400040451;0.0060821863819242429;0.032856478484272561;0.00025965753417690318;1.1870467003050484;0.052936726843918806
2260;0.0053279627686386817;0.031168788447041938;1.0366911101338916;0.0013620722746790054;0.0053279627686386817;0.0057648258039867846;0.031168788447041938;0.0002413741666147072;1.1260734316453755;0.04920927238165955
2265;0.0047781122139604762;0.029555257892037185;1.0961476137862025;0.0012656207401616016;0.0047781122139604762;0.0054617981971134587;0.029555257892037185;0.00022428189537797381;1.0677794144677104;0.045724648311461433
2270;0.0042850150332617827;0.02801287300443888;1.1584997301566702;0.0011755145103666573;0.0042850150332617827;0.0051725028415791352;0.02801287300443888;0.00020831408182808448;1.0120557649506043;0.042469268925438189
2275;0.0038428125237316762;0.026538736842252907;1.2238316629908264;0.0010913963870211902;0.0038428125237316762;0.0048963630679884958;0.026538736842252907;0.00019340742650798392;0.95879782168194827;0.039430229279090026
2280;0.0034462508681929408;0.02513006494340337;1.2922226732720699;0.0010129271399226456;0.0034462508681929408;0.0046328253237625126;0.02513006494340337;0.00017950181410003856;0.90790498695097721;0.036595273582656046
2285;0.0030906186744718415;0.02378418109431242;1.3637457589550595;0.00093978467051017162;0.0030906186744718415;0.0043813582750599619;0.02378418109431242;0.0001665401652016802;0.85928057387451173;0.033952764982417588
2290;0.0027716909653667564;0.022498513254111886;1.4384661558580314;0.00087166321228928951;0.0027716909653667564;0.0041414519428094303;0.022498513254111886;0.00015446829463187581;0.81283165914590239;0.031491656673449747
