Node;Mitigation;Prices;Average Mitigation;Average Emission;GHG Level
0;0.61968278988596048;99.039045308640425;0.0;0.0;400.0
1;0.79448332877329531;143.7969422204302;0.61968278988596048;10.686866903788644;395.54565694664961
2;0.58420413187422671;68.480274845366864;0.61968278988596048;21.621385142540209;395.54565694664961
3;1.0083345719538941;162.41644877627314;0.74224408726673552;-0.50840888918753935;396.89334782611911
4;0.89721380606253687;122.53774761425147;0.74224408726673552;6.2699578301852501;396.89334782611911
5;0.80150338902095519;93.337381356750782;0.5948069492110668;12.108293269721733;425.90167367618551
6;0.63251561813572632;52.71289959927536;0.5948069492110668;22.416547293720694;425.90167367618551
7;1.2749186613331631;156.28252190437743;0.88515327272837385;-20.811342662920449;385.77632444093229
8;1.2348926600049137;144.70464533501041;0.88515327272837385;-17.78137436237197;385.77632444093229
9;1.2609208656331052;152.17416538938218;0.82547365599920919;-19.751709528426069;404.47978843059724
10;0.93157632419967351;73.300222506846382;0.82547365599920919;5.1796722580847154;404.47978843059724
11;1.0456510256203035;96.863790912224587;0.70581738194330201;-3.4557826394569782;440.96708975900748
12;0.94788112471075725;76.434299902182701;0.70581738194330201;3.9453988593956764;440.96708975900748
13;0.96356913376393505;79.522601642118943;0.61505913961615177;2.7578165740701173;474.20497945140789
14;0.59173153423611413;24.519867909418249;0.61505913961615177;30.905922858326164;474.20497945140789
15;1.2942515791836642;35.752414164107336;1.1154254648638788;-23.952078545550268;276.4472746566957
16;1.1485196564019486;26.79898084081178;1.1154254648638788;-12.089500031118622;276.4472746566957
17;1.2157199995518719;30.740266215429653;1.0917782264539535;-17.559607963522378;293.02062969496757
18;1.0904928361309847;23.647655943144304;1.0917782264539535;-7.3661168610621548;293.02062969496757
19;1.24110586119963;32.312081795885561;1.0827345274188576;-19.626017101649882;297.0746037790496
20;1.1071470636286429;24.528537823263537;1.0827345274188576;-8.7217709793715343;297.0746037790496
21;1.5540936546978437;55.595378815372094;0.88815878585490526;-45.103223492404481;426.61224108547714
22;1.4330831310468037;45.717986003505288;0.88815878585490526;-35.252966867209828;426.61224108547714
23;1.6755279549904616;66.662598787880924;0.90659005283390992;-54.98797553622358;414.43171094667269
24;1.5644993596856474;56.497867579867261;0.90659005283390992;-45.950247878411702;414.43171094667269
25;1.6758096799943674;66.689648638203408;0.84882789625068233;-55.010907951541512;451.09866718394665
26;1.5461506327920467;54.912199599063712;0.84882789625068233;-44.456661509272607;451.09866718394665
27;1.7557418355561054;74.625595140650617;0.82095777166455919;-61.51738541426699;467.61017423421004
28;1.5992402193645343;59.572799194072502;0.82095777166455919;-48.7781538562731;467.61017423421004
29;1.4533484387124576;47.293607623503561;0.60127726214529209;-36.902562911194053;619.69181274189475
30;0.40330114176191623;2.1448064522142811;0.60127726214529209;48.571287060580026;619.69181274189475
31;1.9811404498702312;22.033517042080586;1.1818386672802972;0.0;172.99818588477166
32;1.6144794167138119;13.446515083377976;1.1818386672802972;-50.018624520504297;172.99818588477166
33;1.7493979318012998;16.319900388783605;1.1277161263804356;-61.000991648625813;232.85363876375297
34;1.4700665940735609;10.725350479823145;1.1277161263804356;-38.263420757587859;232.85363876375297
35;1.7876493650349361;17.194302960941023;1.13780824894766;-64.114658313843805;219.40885660377182
36;1.5002226731462789;11.263958832483574;1.13780824894766;-40.718125594107107;219.40885660377182
37;1.6346248655406974;13.854956560812061;1.091300852732402;-51.658464055012779;269.86560922900753
38;1.3166332603510802;8.2204559401359063;1.091300852732402;-25.773947392577931;269.86560922900753
39;1.8065544871272006;17.636358163797766;1.1415511464979473;-65.653535252154128;214.73994401319368
40;1.5207256690056397;11.63901039562329;1.1415511464979473;-42.38706945705907;214.73994401319368
41;1.6401697061109801;13.96863379348199;1.0918009588791941;-52.109814077433789;269.06499796641833
42;1.3198239776212843;8.2686085585060187;1.0918009588791941;-26.033671778372547;269.06499796641833
43;1.80901407505213;17.694353776168189;1.135476507927244;-65.853745709243398;196.15743946541937
44;1.4635883441164419;10.611656859731436;1.135476507927244;-37.736091211078374;196.15743946541937
45;1.6364735343212733;13.892796499001047;1.0905351053120664;-51.808945693751653;248.27976239836036
46;1.2384712716036408;7.0918747411749319;1.0905351053120664;-19.411561508536362;248.27976239836036
47;2.0059639786228134;22.705601090879764;1.1921614792210953;-81.88546785989702;134.31619308956974
48;1.698230922239728;15.191807025497305;1.1921614792210953;-56.835997070313873;134.31619308956974
49;1.8138984987932973;17.809856276780081;1.1509272075822057;-66.251337801774412;182.86150573604488
50;1.4662596551388367;10.658452547194619;1.1509272075822057;-37.953535928301314;182.86150573604488
51;1.847518172316408;18.616835841837851;1.1559559060907041;-68.987979226555623;168.11903346577907
52;1.4953660054250326;11.176170448964646;1.1559559060907041;-40.322792841597661;168.11903346577907
53;1.6834198726126457;14.874064888841193;1.1078025780394727;-55.630377630669365;224.75108364859997
54;1.2739200830682089;7.5916360815949151;1.1078025780394727;-22.297094761752209;224.75108364859997
55;1.8837817837819868;19.510846470065026;1.1681218505073911;-71.939837199853741;149.91283344168798
56;1.5164068448623131;11.559409839681448;1.1681218505073911;-42.035517171792293;149.91283344168798
57;1.699007691870652;15.208579710077343;1.1099996150936038;-56.899226118271088;218.74250936514039
58;1.2855206500746519;7.7595235606145287;1.1099996150936038;-23.241380916076665;218.74250936514039
59;2.6979047531889049;32.908019959460063;0.91772307733174752;-138.20944690957688;410.89166709772536
60;2.2276130220322763;28.820429681090118;0.91772307733174752;-99.927699993427311;410.89166709772536
61;0.85223993150123301;2.8778828093988205;0.52775204908202544;12.027669575799635;842.65272207554096
