Year;Discount Prices;Net Expected Damages;Expected Damages;Risk Premium;Expected SDF;Cross SDF & Damages;Discounted Expected Damages;Cov Term;Scaled Net Expected Damages;Scaled Risk Premiums
2015;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2020;0.89820030801471984;0.0022788258804225963;-0.16819874555352721;8.7280721362421833e-08;0.89820030801471984;-0.15107615140436526;-0.96533799822785438;1.3659502362539655e-08;0.070757223477638034;2.7100541378725605e-06
2025;0.806763807651528;0.0044084120970626145;-0.18077039307751175;3.3758837386600762e-07;0.806763807651528;-0.1458389577970276;-0.93187392283527637;5.2832849206652099e-08;0.13688057635870676;1.0482071587084062e-05
2030;0.73272228641968717;0.005369874675554295;0.0011469415852949361;2.9913138101738449e-05;0.73272228641968717;0.0008450710906888041;0.005369874675554295;4.6814299216778798e-06;0.16673385436303856;0.00092879873612355566
2035;0.65914801242482357;0.011428242614652542;0.0027133952186120247;7.3675813395733108e-05;0.65914801242482357;0.001800059388708338;0.011428242614652542;1.1530323437202198e-05;0.35484532784561845;0.0022876236566050866
2040;0.59296192115581126;0.017082164790792189;0.0045085060112304287;0.00011888091055425759;0.59296192115581126;0.0026919773430843104;0.017082164790792189;1.8604957122591876e-05;0.5303988172013292;0.0036912355733614891
2045;0.53342206333602049;0.022351719395079683;0.0065577750081258213;0.00016522177166717513;0.53342206333602049;0.0035239192144986965;0.022351719395079683;2.5857338770832357e-05;0.69401774744361788;0.0051301128013596315
2050;0.47986100329973597;0.027256099717220306;0.0088892434899956463;0.00021241645151233131;0.47986100329973597;0.0042988446434152052;0.027256099717220306;3.3243343730247898e-05;0.84629806752172809;0.0065955009810568128
2055;0.43167833520498761;0.031813650714660441;0.011533730679141874;0.00026020620030796837;0.43167833520498761;0.0050195841357287023;0.031813650714660441;4.0722477454046765e-05;0.98780938578743149;0.008079365968076355
2060;0.39286209230711489;0.035932099597373771;0.014313934320797639;0.0004783968640113847;0.39286209230711489;0.0056982716764032481;0.035932099597373771;7.4869489988066591e-05;1.1156866450720835;0.014854155426555646
2065;0.35390219599156492;0.03866188859678657;0.017096860110152323;0.00059528742471075355;0.35390219599156492;0.0061437792933176855;0.03866188859678657;9.316295577418976e-05;1.2004462100470215;0.018483590916509741
2070;0.31880699060684659;0.04116685093151333;0.02020860623049292;0.00071507009670964208;0.31880699060684659;0.0065545539759828226;0.04116685093151333;0.00011190903928060512;1.278224938665137;0.022202826056055478
2075;0.28719300774269957;0.043459109402810246;0.023682279960068886;0.00083699125483830967;0.28719300774269957;0.0069323750095052579;0.043459109402810246;0.00013098979756841558;1.34939924220253;0.025988460889535069
2080;0.2587148382852103;0.045550220475607216;0.027554066115637044;0.00096036062105461697;0.2587148382852103;0.0072789429607816444;0.045550220475607216;0.00015029720157461353;1.414327947271923;0.029819062380704295
2085;0.23306135403041284;0.047451198912034948;0.031863499757167624;0.0010845472662221335;0.23306135403041284;0.0075958829079403895;0.047451198912034948;0.00016973251038717233;1.4733530606902172;0.033675040268504382
2090;0.20995230449628333;0.049172541377007953;0.036653762300214998;0.0012089758309310574;0.20995230449628333;0.0078847475431896418;0.049172541377007953;0.00018920567980051234;1.5268005024285289;0.037538529724082441
2095;0.18913525166967221;0.050724249058276716;0.041972003000384506;0.0013331229543186722;0.18913525166967221;0.0081470201539810203;0.050724249058276716;0.00020863480342305993;1.574980807961631;0.041393280466168254
2100;0.17252900192943246;0.051905497971399935;0.047083398471031712;0.0017682848745633668;0.17252900192943246;0.0083999897359525299;0.051905497971399935;0.00027673799029966258;1.6116584207826146;0.054904996962034075
2105;0.15517275946258913;0.052969547903823286;0.053422884504317203;0.0017933554676899468;0.15517275946258913;0.0085704379650644955;0.052969547903823286;0.00028066155807840269;1.6446970217159524;0.055683435356917228
