Year;Node;Cost;CertainEquivalence;Consumption;Utility;SDF;DeltaConsumption;MU_2;MU_1;MU_0
2015;0;0.028326861719763591;0.75010748143543116;0.97167313828023638;9.92197153642838;1.0;-0.16294209337981425;0.14322096805432105;0.15065312936988867;0.32718592686522951
2030;1;0.056054546755303171;0.7343731063186405;1.178419506779151;12.008479498327439;0.76743581980762487;0.0015265555965537914;0.14298684069580211;0.1508081114486077;0.32644203746933659
2030;2;0.018117463567559985;0.73259029607692805;1.2266561874898763;12.281233461985572;0.69795371794491179;0.00088696448881098178;0.13950487697753114;0.14830545197198852;0.32009950900554013
2060;3;0.08212316124877278;0.70324643725781777;1.7600705213565206;17.739011435732166;0.43370637392557859;0.024375070395876719;0.14063794606656893;0.15023505374602314;0.32246697423480397
2060;4;0.055067086667562735;0.70135944685499463;1.8283728344232939;18.181273233128483;0.39483975526375198;0.014356564024486929;0.13884596650452277;0.14719981479639005;0.31768489343156514
2060;5;0.035711746086943268;0.70210239577108791;1.8633606309947819;18.02522342101344;0.38871903965679477;0.0090073120647682359;0.13353490423594538;0.14407656370749269;0.30809888564181115
2060;6;0.013046415749364642;0.69982807117430401;1.9172541955243387;18.55893269018507;0.35459618387264336;0.0058634946468183458;0.13364158212348573;0.14375222147901148;0.30832721464173335
2100;7;0.10093460204107808;0.66381623435091519;2.9796685315284481;29.823982075292136;0.20383646234052122;0.11503428544052952;0.13922680004006632;0.14808978321107069;0.32000005616580052
2100;8;0.088656100304617652;0.66173615156970889;3.1131354832061815;30.693664236640597;0.18251285646333304;0.075621639692791121;0.13833191746419993;0.14426626718238567;0.31468472018467447
2100;9;0.098100386740317541;0.66237893191669239;3.07281360151782;30.422457556585677;0.18654024025667906;0.066022402536525249;0.13871047870193287;0.14527797602807876;0.31614319251044692
2100;10;0.034223009745546963;0.66053486866806321;3.3518360002958554;31.256883386874353;0.16016695381090701;0.042845430460580758;0.12940690434071306;0.13675161709395953;0.29580146242397759
2100;11;0.05009541880522389;0.66402927129774136;3.2107815252378051;29.811530359763395;0.18010832847976288;0.034172894619066696;0.12699196257307971;0.13842194902994912;0.29437504313728685
2100;12;0.036435899820919888;0.66140459899841253;3.3280236788821478;30.893521998338276;0.16089074383307178;0.022526342457007686;0.12819254325860599;0.13671785540389078;0.29430538578983823
2100;13;0.031177160871826128;0.66199655083441467;3.3422802893888188;30.65775716348362;0.16204451277133713;0.015940398368519126;0.12581803233780431;0.13568557455883618;0.29042818591905883
2100;14;0.00514277817783224;0.6593823655418769;3.4768522356999374;31.773062494483813;0.1444424057326528;0.010690090885479009;0.12445317681250191;0.13560207558704776;0.28922349803356096
2200;15;0.022945126140872407;0.57727984707718716;14.009537870141756;105.8021144971646;0.022765075088418529;1.1197527726183765;0.10232085702426723;0.10725472819186149;0.23400816598885446
2200;16;0.015139304092336534;0.57557242315057178;14.808130959356957;108.75739460099783;0.020177196465547338;0.69362291967394185;0.10028108158521114;0.10321439471722277;0.22686800237743321
2200;17;0.018848053708665435;0.57599888931500309;14.563446099821494;108.00145701882916;0.020311054130158202;0.96030921903231814;0.10116859531567848;0.10443013150712879;0.22932298965473685
2200;18;0.013145318522002847;0.57481632765626611;15.117220307440103;110.08169325740434;0.018717248820045707;0.56707101764263967;0.099674418488011007;0.10198023055479795;0.22472171283649089
2200;19;0.020143500766162146;0.57623804969830106;14.403720326207466;107.57443475511647;0.020753821831917558;1.0035917454057852;0.1018581672347016;0.10527145606817341;0.23113063806568196
2200;20;0.014070355892551055;0.57496038259240223;15.017898597246056;109.81901423710158;0.018954683387076923;0.6211754262151814;0.10006768143699611;0.10247976293915477;0.22577354519542209
2200;21;0.044568875036990453;0.57733296977634707;13.854003250441886;105.68065900771272;0.020580532050015393;0.34718924424268494;0.10371206364834054;0.10830611926056886;0.23662683865427259
2200;22;0.033400094879901691;0.57574498838055677;14.588484972820662;108.42332150275676;0.018429768314824669;0.22335950926262171;0.10146499286410174;0.10474167738286154;0.2298793056519752
