Node;Mitigation;Prices;Average Mitigation;Average Emission;GHG Level
0;0.6052566318867737;93.566794095936487;0.0;0.0;400.0
1;0.79001458765689114;141.85301742518811;0.6052566318867737;10.91924144184166;396.50931971748508
2;0.56743479567493482;63.832856096435094;0.6052566318867737;22.493390624903387;396.50931971748508
3;1.0090789538689011;162.70591970997131;0.7347995663922583;-0.55381618600296811;398.07278791511959
4;0.897570465014497;122.65532027756953;0.7347995663922583;6.2482016341156825;398.07278791511959
5;0.79060819534441984;90.305170481547592;0.57873787316353043;12.77290008399039;428.83786705131234
6;0.58861014465582262;44.312506356318139;0.57873787316353043;25.094781175994815;428.83786705131234
7;1.2796667989280792;157.69067653284213;0.88210676491642903;-21.170776678855599;386.55265964726203
8;1.231946748723959;143.87307705798872;0.88210676491642903;-17.558368878403702;386.55265964726203
9;1.2690324099426702;154.54709617906695;0.82221891386088874;-20.365753432660135;405.31336438810189
10;0.93211528960116263;73.402594828759419;0.82221891386088874;5.1388725771919894;405.31336438810189
11;1.0422089059533657;96.096169235688606;0.6925270422950901;-3.1952141806697822;445.07941917229022
12;0.94938522904191436;76.727292340851562;0.6925270422950901;3.8315381615270834;445.07941917229022
13;0.90700278150612124;68.721208569497634;0.58403997285822018;7.0398894399866236;485.07072611102848
14;0.53493069954298;19.220430615111965;0.58403997285822018;35.205746044596417;485.07072611102848
15;1.2909632344099076;35.533617175885702;1.1169840095713015;-23.684407280966479;275.26342126596512
16;1.1428864424390104;26.482908204544923;1.1169840095713015;-11.630956414535447;275.26342126596512
17;1.2186665345091814;30.920354828979452;1.0887911507629449;-17.799455909047371;295.02615712889639
18;1.0965593609394622;23.966345225597284;1.0887911507629449;-7.8599319804722212;295.02615712889639
19;1.2426340841187655;32.408171720795693;1.086194952335682;-19.750414447267516;294.55190739603648
20;1.118627577038303;25.14678128820794;1.086194952335682;-9.6562847709178623;294.55190739603648
21;1.5681842653283249;56.819502115985173;0.8871453544564637;-46.250199197725649;427.24559717524153
22;1.4410837421582283;46.336297176548463;0.8871453544564637;-35.904216611679786;427.24559717524153
23;1.6922140597406969;68.275812583331088;0.89911801124402058;-56.346224462892742;419.15035229169092
24;1.5909357107800375;58.829077446032883;0.89911801124402058;-48.102166857495064;419.15035229169092
25;1.687359062083682;67.804100413061462;0.84427806857750787;-55.951027653611725;453.91784152360293
26;1.5590060131701364;56.02036819762975;0.84427806857750787;-45.503089472049112;453.91784152360293
27;1.8094206233912553;80.250388092441256;0.77484540633143228;-65.886838744048191;497.37872390538018
28;1.3410146930237397;38.94945310181815;0.77484540633143228;-27.758596012132415;497.37872390538018
29;1.1732126196339812;28.210467308984622;0.55502636531096705;-14.099507238206069;651.79798538594878
30;0.47376574814378214;3.1632924944806033;0.55502636531096705;42.83546810109614;651.79798538594878
31;1.9823520919395345;22.066047326073924;1.1815971535710392;0.0;173.51468653766418
32;1.6147983631651406;13.452925893882517;1.1815971535710392;-50.044586761642456;173.51468653766418
33;1.7440240695986617;16.199194185462499;1.1266037651850962;-60.563559265331072;234.2643584469842
34;1.4643314603444109;10.624662570582496;1.1266037651850962;-37.796580872035051;234.2643584469842
35;1.786756481290019;17.173587185018494;1.13702482279937;-64.041977577007543;220.0128484648472
36;1.5054279114400413;11.358494797033831;1.13702482279937;-41.14183199121937;220.0128484648472
37;1.6395714558720595;13.956342617865904;1.0916761416762057;-52.061116507985659;269.28656448418775
38;1.3214057220690536;8.2925404862964509;1.0916761416762057;-26.162425776420967;269.28656448418775
39;1.8068869882761587;17.644191825056403;1.1442939820242624;-65.680600845679322;212.13740337579637
40;1.5215432578994292;11.654115454634901;1.1442939820242624;-42.453621193013547;212.13740337579637
41;1.6549440641808821;14.274188933192551;1.0982399183489739;-53.312446824323814;262.52909706839586
42;1.3327356176877518;8.46514835291363;1.0982399183489739;-27.084679279783007;262.52909706839586
43;1.8079452478847322;17.669137772546449;1.1400724798555397;-65.766743177817219;190.69310742159144
44;1.4619413476205994;10.58286505486789;1.1400724798555397;-37.602025696316794;190.69310742159144
45;1.6151617568355707;13.460232272524918;1.0928693473341151;-50.074167006415465;245.5159105732948
46;1.2179734694922175;6.8119487301098891;1.0928693473341151;-17.74304041666651;245.5159105732948
47;2.017168088265096;23.012825874719713;1.1936613927004924;-82.797482384778817;131.56554475579046
48;1.6988767347247733;15.205751210057114;1.1936613927004924;-56.888566206596551;131.56554475579046
49;1.8051426957484236;17.603119322906384;1.156048208991223;-65.538615433921692;175.94933116701785
50;1.4576244819577875;10.507617468605741;1.156048208991223;-37.250632831363909;175.94933116701785
51;1.8577120881724511;18.865667981350406;1.1573850713670077;-69.817763977237533;165.91385272063334
52;1.5010992669366447;11.279846871658867;1.1573850713670077;-40.789480328642888;165.91385272063334
53;1.6872651894787891;14.956180777991815;1.1097167705112609;-55.943386423573443;222.04955665302427
54;1.2784687186682067;7.6572092819845556;1.1097167705112609;-22.667353699592027;222.04955665302427
55;1.9418247574601879;20.993173856354268;1.1590703477889996;-76.664535257259303;153.50777477503084
56;1.5793409350906427;12.751157737873893;1.1590703477889996;-47.158352116378317;153.50777477503084
57;2.3286971734645459;30.51067847735645;0.98511176246225551;-108.15594992001405;356.9980520790773
58;1.8886223953524743;19.63204324794949;0.98511176246225551;-72.333862981691425;356.9980520790773
59;4.119381233314507;33.658902490455546;0.78461100397276717;-253.91763239180088;555.55087648234201
60;2.405006386751019;31.356087755375732;0.78461100397276717;-114.36751988153296;555.55087648234201
61;1.1105050758593797;5.4509019856830268;0.5248474519182813;-8.9951131749535111;839.54990149954051
