Year;Discount Prices;Net Expected Damages;Expected Damages;Risk Premium;Expected SDF;Cross SDF & Damages;Discounted Expected Damages;Cov Term;Scaled Net Expected Damages;Scaled Risk Premiums
2015;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2020;0.89810399380523054;0.0023324874329918514;-0.2239196403186261;0.00012741762829355705;0.89810399380523054;-0.20107657477567012;-0.96518057891808706;2.6548485918709286e-05;0.10100077106608697;0.0055174053772088557
2025;0.80667014449334329;0.0045122921012813498;-0.24064250131443643;0.00024657979637165175;0.80667014449334329;-0.19406774442613933;-0.93166134291221259;5.1376880416648119e-05;0.19539011231466827;0.01067733493891135
2030;0.73410831424165335;0.005620208840231399;0.0015951537600367161;0.00031511239359544464;0.73410831424165335;0.0012366718350480866;0.005620208840231399;6.5656197311298251e-05;0.24336483806375678;0.013644915841967316
2035;0.66033144802024279;0.010830913137784077;0.0034175378482603769;0.001097383244712263;0.66033144802024279;0.0024853563261694146;0.010830913137784077;0.00022864861016365498;0.46899741571719106;0.047518607090103096
2040;0.59403921311645536;0.015695050301354079;0.0055050065333073217;0.001830456703727472;0.59403921311645536;0.0036515801006019471;0.015695050301354079;0.00038139035135512003;0.6796230324484327;0.079261965515682348
2045;0.53440255673908033;0.020229126952334007;0.0078871273563541067;0.0025165986238816847;0.53440255673908033;0.00473925455416378;0.020229126952334007;0.00052435352960140177;0.87595645373264241;0.10897310651310657
2050;0.48075324053295332;0.024449556866821553;0.010596416320240998;0.0031580064663947758;0.48075324053295332;0.0057522574875836863;0.024449556866821553;0.00065799600359155337;1.0587084246818943;0.136747183983081
2055;0.43249012256873642;0.028372031784545483;0.013668614192596795;0.0037567875802044788;0.43249012256873642;0.006694297483898071;0.028372031784545483;0.00078275685639711285;1.2285584249750734;0.16267544980744039
2060;0.3945850266299466;0.032037326503740617;0.016917099639340849;0.004353981695186593;0.3945850266299466;0.0075824212569453554;0.032037326503740617;0.00090718704525458681;1.3872720744408362;0.18853499581663583
2065;0.35546446345741406;0.035135757414827766;0.020595074677179359;0.0054118562806721388;0.35546446345741406;0.0084484208790337051;0.035135757414827766;0.0011276037090447695;1.5214395330467723;0.23434280910384703
2070;0.32027019375583315;0.037999785184483596;0.024721502362884396;0.0064024330039131831;0.32027019375583315;0.0092515586745834655;0.037999785184483596;0.0013339983228871921;1.6454569270950148;0.27723650766458557
2075;0.28856137521087621;0.040637176721319002;0.029342395697956603;0.0073280479389500244;0.28856137521087621;0.0099939396811490507;0.040637176721319002;0.0015268576265649956;1.7596605772651115;0.31731724757626489
2080;0.25999273953468349;0.043059811160382093;0.034508107448988357;0.008191647438493814;0.25999273953468349;0.010678652908142154;0.043059811160382093;0.0017067955163224523;1.8645648708084088;0.35471261104638152
2085;0.2342532293288572;0.045279027111656288;0.040273719516537021;0.0089960645468530019;0.2342532293288572;0.011308651133521773;0.045279027111656288;0.0018744022796883548;1.9606607892988885;0.38954527383111337
2090;0.21106260744720437;0.047305645572851641;0.046699466104377363;0.009744022868564229;0.21106260744720437;0.011886756483918549;0.047305645572851641;0.0020302454015363233;2.0484169007969659;0.42193317275378001
2095;0.19016840248815395;0.049149991910518692;0.053851193555298771;0.010438140320334358;0.19016840248815395;0.012415665796323591;0.049149991910518692;0.0021748703458320529;2.1282803116700295;0.4519896681704717
2100;0.17360136153773162;0.050913983459258093;0.06110745422256425;0.011090519071924923;0.17360136153773162;0.012919135949958064;0.050913983459258093;0.0023107986968163019;2.2046642201347417;0.4802388051243463
2105;0.15600687483035511;0.051139681906652502;0.068300601165333097;0.011286439398821858;0.15600687483035511;0.013006983606850162;0.051139681906652502;0.0023516202700120357;2.2144373562695048;0.48872249674223778
2110;0.14021220768729414;0.051301134203304469;0.076234469134242588;0.011459456308711188;0.14021220768729414;0.013076672951558774;0.051301134203304469;0.0023876697323777368;2.2214285221045649;0.49621443048606906
2115;0.12601689944865718;0.051396785404897935;0.084980133314582762;0.011609861849563481;0.12601689944865718;0.013127940849490248;0.051396785404897935;0.0024190079344529897;2.2255703858409732;0.50272725254196671
2120;0.11325897439359871;0.051430800279657823;0.094615197115116567;0.011738908876255456;0.11325897439359871;0.013161916105917083;0.051430800279657823;0.002445895918610802;2.2270432892015108;0.50831521370965327
2125;0.10179286353988826;0.051407139943516367;0.10522437422246234;0.011847794345553848;0.10179286353988826;0.013179673446701392;0.051407139943516367;0.0024685830804041485;2.2260187554097448;0.51303014430326588
2130;0.091487742522456075;0.05132957079671057;0.11690012144649486;0.011937661553750169;0.091487742522456075;0.013182235846535908;0.05132957079671057;0.0024873076347951394;2.2226598761602756;0.51692155104484161
2135;0.08222603788323353;0.051201673091008905;0.12974332671834565;0.012009602290853263;0.08222603788323353;0.01317057676283777;0.051201673091008905;0.0025022970649983354;2.2171216825945841;0.52003671034460897
2140;0.07390208470567089;0.051026849141862098;0.14386405697049964;0.012064658914365084;0.07390208470567089;0.013145622278903911;0.051026849141862098;0.0025137685545685833;2.2095515009014735;0.52242075809909416
2145;0.066420920257097379;0.050808331199886377;0.1593823710303921;0.012103826345378902;0.066420920257097379;0.013108253159900884;0.050808331199886377;0.0025219294033041028;2.2000892931660117;0.52411677612565188
2150;0.059697199856521548;0.050549188995228193;0.17642920309262622;0.012128053989842368;0.059697199856521548;0.01305930682510441;0.050549188995228193;0.0025269774275570728;2.1888679840536751;0.52516587535650439
2155;0.053654222582330463;0.050252336967880701;0.19514732280564995;0.012138247587548267;0.053654222582330463;0.012999579239645937;0.050252336967880701;0.0025291013454857014;2.1760137738956509;0.52560727590326439
2160;0.048223055689614311;0.049920541196474315;0.21569237851859491;0.012135270991509347;0.048223055689614311;0.012929826728928831;0.049920541196474315;0.0025284811478012582;2.1616464387175456;0.52547838410696535
2165;0.043341747734868735;0.049556426037791812;0.23823403078758743;0.012119947880095154;0.043341747734868735;0.012850767718762096;0.049556426037791812;0.0025252884545055292;2.145879617741961;0.5248148666765714
2170;0.038954621419512704;0.049162480488353318;0.26295718383816391;0.01209306340441324;0.038954621419512704;0.012763084404092802;0.049162480488353318;0.0025196868581359218;2.1288210888562107;0.52365072202345408
2175;0.035011638074597187;0.048741064279497627;0.29006332333156859;0.01205536577317568;0.035011638074597187;0.012667424349184869;0.048741064279497627;0.0025118322539851266;2.1105730325399645;0.52201834888887522
2180;0.031467826527684699;0.048294413716480099;0.31977196948407283;0.012007567777346052;0.031467826527684699;0.012564402021914447;0.048294413716480099;0.0025018731577735581;2.0912322847083642;0.51994861236385848
2185;0.028282769828511918;0.047824647272010377;0.35232225535186679;0.011950348256655438;0.028282769828511918;0.012454600264788788;0.047824647272010377;0.0024899510112097387;2.0708905789219556;0.51747090739188739
2190;0.025420143971119569;0.04733377094405973;0.38797464091875344;0.011884353510174578;0.025420143971119569;0.012338571705192463;0.04733377094405973;0.0024762004758943322;2.0496347783890836;0.5146132198491391
2195;0.022847303344202447;0.046823683387458237;0.4270127745186314;0.011810198652831302;0.022847303344202447;0.012216840107238135;0.046823683387458237;0.0024607497159614428;2.0275470981729962;0.51140218528405268
2200;0.01941623598154428;0.046571022577157256;0.49975940197706237;0.011011279188232394;0.01941623598154428;0.011997734913596857;0.046571022577157256;0.0022942884308147678;2.0166064447325405;0.47680758005580787
2205;0.017410672840341129;0.044262163945981328;0.5296967746864889;0.010280965001458317;0.017410672840341129;0.011364498854799884;0.044262163945981328;0.0021421216061495371;1.9166288419669639;0.44518370292731674
2210;0.015613300654427006;0.042056770131226551;0.5612436430779133;0.0095878414808825627;0.015613300654427006;0.010760569495160025;0.042056770131226551;0.0019977037553986447;1.8211314460779335;0.41517024646363232
2215;0.014001497218064981;0.039947742129037803;0.59446734103003607;0.0089301955238710387;0.014001497218064981;0.010184110761535942;0.039947742129037803;0.0018606779398734046;1.729806857825896;0.38669303033498675
2220;0.012556101640825594;0.037931150228736464;0.62943578617461471;0.0083064136743365713;0.012556101640825594;0.0096339676906246931;0.037931150228736464;0.0017307079830432663;1.6424849138895008;0.3596821890807646
2225;0.011259931687950366;0.036003218300565396;0.66621715108551305;0.0077149511008880395;0.011259931687950366;0.009109031617447888;0.036003218300565396;0.0016074720068841031;1.5590021012689683;0.33407082880929317
2230;0.010097579433415792;0.034160317963260446;0.70487947880717439;0.0071543288023718666;0.010097579433415792;0.0086082383778705134;0.034160317963260446;0.0014906618496303469;1.4792013047317714;0.309794906192919
2235;0.0090552280191509085;0.032398962968574745;0.74549023597414443;0.006623130923760428;0.0090552280191509085;0.0081305665793152803;0.032398962968574745;0.0013799825065187853;1.4029315636527502;0.28679311224129755
2240;0.0081204873402261294;0.030715803794856757;0.78811579605571058;0.0061200021781214354;0.0081204873402261294;0.0076750359371378198;0.030715803794856757;0.0012751515926351835;1.3300478379066194;0.26500676066817469
2245;0.0072822467010572956;0.029107622441980344;0.83282084446737459;0.0056436453705882928;0.0072822467010572956;0.007240705674207917;0.029107622441980344;0.0011758988270136276;1.260410782479368;0.24437968067498739
2250;0.0065305426896255315;0.027571327420249543;0.87966769642240372;0.0051928190203679621;0.0065305426896255315;0.0068266729813338299;0.027571327420249543;0.0010819655371627698;1.1938865304791029;0.2248581139796601
