Year;Discount Prices;Net Expected Damages;Expected Damages;Risk Premium;Expected SDF;Cross SDF & Damages;Discounted Expected Damages;Cov Term;Scaled Net Expected Damages;Scaled Risk Premiums
2015;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2020;0.89816826713689557;0.0023131890777640346;-0.18527125007563594;4.0952062972189756e-05;0.89816826713689557;-0.16639769781912278;-0.96526911790538827;7.059811597570631e-06;0.081717276565569999;0.0014467001802826427
2025;0.80673411371211678;0.0044749124698536006;-0.19911180472480527;7.9366160847388047e-05;0.80673411371211678;-0.1606166032161902;-0.9317729614335688;1.3682098095657569e-05;0.1580837742235989;0.0028037424948342718
2030;0.73248493685221649;0.0054940026968674158;0.0012930267129784845;0.00012134286134377874;0.73248493685221649;0.00096804113929858883;0.0054940026968674158;2.0918549094314592e-05;0.19408484250058325;0.0042866397109534854
2035;0.65892154436858807;0.010757020207495952;0.0028143337821695535;0.00044115501989703361;0.65892154436858807;0.0019304767966308357;0.010757020207495952;7.6051634514983897e-05;0.38000974661658898;0.0155845395933055
2040;0.59277228768692369;0.015668027959041448;0.0045566300806654247;0.00074388383253518899;0.59277228768692369;0.0028292837233416545;0.015668027959041448;0.00012823968628255904;0.5534993167111435;0.026278941682835975
2045;0.5332641395018981;0.020244287069031818;0.006544514503387111;0.0010301590641963075;0.5332641395018981;0.0036675461659953727;0.020244287069031818;0.00017759127088895271;0.71516333065688953;0.0363920934802398
2050;0.47973032306638574;0.024502525913504197;0.0088050335215694719;0.0013005892656867452;0.47973032306638574;0.00444825287359052;0.024502525913504197;0.00022421129767764142;0.86559274634147232;0.045945493061495819
2055;0.43157101069514381;0.028458733280099801;0.011367910027237915;0.0015557661151464205;0.43157101069514381;0.0051742621872244501;0.028458733280099801;0.00026820176727792352;1.0053523944543434;0.054960042447395274
2060;0.39298854776754888;0.032061254150725513;0.014064294092636098;0.001921287057731756;0.39298854776754888;0.0058583211962071327;0.032061254150725513;0.0003312146853663555;1.1326174750082942;0.067872681644458199
2065;0.35403542242421859;0.035068277478797302;0.017075956683232363;0.002372469468689198;0.35403542242421859;0.0064544885003979726;0.035068277478797302;0.0004089949627521447;1.2388456079790264;0.08381145561332394
2070;0.3189631833697506;0.037840585322224451;0.02045194496528846;0.0028011567669320499;0.3189631833697506;0.0070063147329439508;0.037840585322224451;0.00048289726071260031;1.3367820235292927;0.098955552067609379
2075;0.28736630241921873;0.040388802399589925;0.02422938901809335;0.0032079610844248387;0.28736630241921873;0.00751573703796084;0.040388802399589925;0.00055302710595452921;1.4268020576293432;0.11332659559370077
2080;0.2589003076886367;0.042724865236977307;0.028448898903860043;0.0035935008061768496;0.2589003076886367;0.007984919782772458;0.042724865236977307;0.00061949110316017377;1.509327388045419;0.12694643167725839
2085;0.23325487998890537;0.044860158798322676;0.033154875015301011;0.0039583912920132221;0.23325487998890537;0.0084159317282351629;0.044860158798322676;0.00068239533549396825;1.5847602076875582;0.13983679893424825
2090;0.21015046585107999;0.046805540226258227;0.038395845206390389;0.0043032438693169041;0.21015046585107999;0.0088107499478281195;0.046805540226258227;0.00074184519095922205;1.6534840632946393;0.15201929352786539
2095;0.18933522653168863;0.048571361602874279;0.044224830964717521;0.0046286649156715995;0.18933522653168863;0.0091712635932834543;0.048571361602874279;0.00079794520425302377;1.7158646594964035;0.16351533676136043
