Year;Discount Prices;Net Expected Damages;Expected Damages;Risk Premium;Expected SDF;Cross SDF & Damages;Discounted Expected Damages;Cov Term;Scaled Net Expected Damages;Scaled Risk Premiums
2015;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2020;0.89799546921252604;0.0022991852094776852;-0.26900887184666544;0.00030145402624334955;0.89799546921252604;-0.24149329259901553;-0.96509696933382572;7.5455497263093863e-05;0.11616876996807138;0.015231284233325489
2025;0.80657116088756464;0.0044479691335011229;-0.28910900411722729;0.00058314948564473345;0.80657116088756464;-0.23304101975052219;-0.93161079136444902;0.00014596532335753309;0.2247383555551655;0.029464245931823733
2030;0.7369018236439282;0.0056251927649060094;0.0019107223120595762;0.00071635917829647715;0.7369018236439282;0.0015873231525785243;0.0056251927649060094;0.00017930839634467972;0.28421882745186816;0.036194806862447228
2035;0.66280815434213869;0.010721089654192937;0.004048749261492679;0.0025069016525353688;0.66280815434213869;0.0033110344362603686;0.010721089654192937;0.00062749041085630912;0.54169441970616372;0.12666386344409272
2040;0.59631191089412039;0.015481359121346534;0.006498384401359969;0.0041795550997257265;0.59631191089412039;0.0049212282140841685;0.015481359121346534;0.0010461641939846608;0.78221208067416625;0.21117645196544133
2045;0.53648717021479209;0.019921140191970072;0.0092944703868669265;0.0057399311102067406;0.53648717021479209;0.00642309847222409;0.019921140191970072;0.001436734355728669;1.0065367256726576;0.29001610397696631
2050;0.48266456027751653;0.024056241479323046;0.012475333363087815;0.0071935774489334829;0.48266456027751653;0.0078219908222747093;0.024056241479323046;0.0018005895302644973;1.2154671016445484;0.36346312618395005
2055;0.43424187185896768;0.027901781966045907;0.016083110263098721;0.0085457997570734193;0.43424187185896768;0.0091230176528978857;0.027901781966045907;0.0021390577469357231;1.4097671112146775;0.43178559173064196
2060;0.39610725929461643;0.031605558295775327;0.019971949603947436;0.0097365844221264722;0.39610725929461643;0.010348151509453906;0.031605558295775327;0.0024371172890640877;1.5969043364751292;0.49195124922783873
2065;0.35687855115161149;0.034685626877000546;0.024327579343463857;0.01207469734640286;0.35687855115161149;0.011704350279973203;0.034685626877000546;0.0030223590108519501;1.7525280665788563;0.6100868832515729
2070;0.32162938385382955;0.037543150631690607;0.029217617145499419;0.014253602345228341;0.32162938385382955;0.012964994368103186;0.037543150631690607;0.0035677501679191211;1.8969074834124835;0.72017836807298952
2075;0.28986252122953926;0.040180694299607481;0.034697259026467142;0.016277938985502373;0.28986252122953926;0.014131887048951334;0.040180694299607481;0.0040744520677851795;2.0301721731712457;0.8224601227278725
2080;0.2612338713136495;0.042609509769870248;0.040826941637789327;0.01815541036664069;0.2612338713136495;0.015209772853892245;0.042609509769870248;0.0045443928359561094;2.1528906494804887;0.91732135447989904
2085;0.23543334946875766;0.04484034928077555;0.047672815582461281;0.019893385057985904;0.23543334946875766;0.016203187514520778;0.04484034928077555;0.0049794168633355354;2.2656061805780969;1.005134368106182
2090;0.21218151666923832;0.046883486083027816;0.055307260089171306;0.021498910563068116;0.21218151666923832;0.017116466504938987;0.046883486083027816;0.0053812881763985864;2.3688378333461064;1.0862552461933099
2095;0.19122655016950327;0.048748734283490087;0.063809442573437014;0.022978726268491994;0.19122655016950327;0.017953753249922492;0.048748734283490087;0.0057516936783651006;2.4630814759372512;1.1610245033935938
2100;0.17314115694761964;0.050618416372083037;0.073177578705163615;0.024197501478435145;0.17314115694761964;0.01872681003785456;0.050618416372083037;0.0060567593982170376;2.5575491454263566;1.2226044128428366
2105;0.15553754470861617;0.050294983652007366;0.080939259942389152;0.023680259881123333;0.15553754470861617;0.018516384921145129;0.050294983652007366;0.0059272911591734707;2.5412073643885629;1.1964702328349179
2110;0.13975591937909115;0.049947704917974539;0.089457163314379806;0.023178706599793625;0.13975591937909115;0.01830391789056611;0.049947704917974539;0.0058017497865194556;2.5236607382175342;1.1711287216224486
2115;0.12557573812063447;0.049567700916453017;0.098801339562881729;0.022686490957932702;0.12557573812063447;0.01808559681609178;0.049567700916453017;0.0056785456731754617;2.504460633216107;1.1462590045425367
2120;0.11283447774971393;0.049157545239409108;0.1090481146127531;0.022203470042233955;0.11283447774971393;0.017862030109124835;0.049157545239409108;0.0055576430472038911;2.4837370828465235;1.1218538607488699
2125;0.10138611046203279;0.048719675854165638;0.12028063845510584;0.021729502818555759;0.10138611046203279;0.017633792703885019;0.048719675854165638;0.005439006607031829;2.4616132679921452;1.0979061643419388
2130;0.09109942945776299;0.048256401306560462;0.13258948119143632;0.021264450069825924;0.09109942945776299;0.017401427594548859;0.048256401306560462;0.0053226015059082126;2.4382058303786116;1.0744088812315937
2135;0.081856544542291937;0.047769906660156632;0.1460732802345821;0.020808174339223294;0.081856544542291937;0.017165447307642651;0.047769906660156632;0.0052083933376818898;2.4136251726587301;1.0513550662662339
2140;0.073551530445562202;0.047262259182557102;0.16083944299854491;0.020360539878395634;0.073551530445562202;0.016926335312395031;0.047262259182557102;0.0050963481238402875;2.3879757457195545;1.0287378606164621
2145;0.066089212355280258;0.046735413788868529;0.17700490977057282;0.019921412600331059;0.066089212355280258;0.0166845473714675;0.046735413788868529;0.0049864323017128915;2.3613563237191624;1.0065504893938637
2150;0.059384074733543936;0.046191218252346136;0.19469698185267115;0.019490660036475035;0.059384074733543936;0.016440512834471878;0.046191218252346136;0.0048786127137374069;2.3338602673600133;0.98478625948429721
2155;0.053359280900846164;0.045631418191718447;0.21405422048486611;0.019068151297768496;0.053359280900846164;0.01619463587657103;0.045631418191718447;0.0047728565977073999;2.3055757758788142;0.96343855757930363
2160;0.04794579214220121;0.045057661844279215;0.2352274225230544;0.018653757039309896;0.04794579214220121;0.015947296684363132;0.045057661844279215;0.0046691315779270257;2.2765861282120516;0.94250084839061987
2165;0.043081576231885729;0.044471504633568026;0.25838067934352837;0.018247349428290666;0.043081576231885729;0.015698852591169751;0.044471504633568026;0.004567405657185112;2.246969913782896;0.92196667303008351
2170;0.038710896299098962;0.043874413540013604;0.28369252598604566;0.017848802115051604;0.038710896299098962;0.015449639163785667;0.043874413540013604;0.0044676472095104159;2.2168012533325858;0.90182964754722594
2175;0.034783671878498713;0.043267771282707493;0.31135718813289914;0.017457990206776283;0.034783671878498713;0.015199971242613717;0.043267771282707493;0.0043698249735869589;2.1861500102089773;0.88208346160010398
2180;0.031254904817636035;0.042652880319993668;0.34158593515392077;0.017074790243890196;0.031254904817636035;0.014950143937125591;0.042652880319993668;0.0042739080468466029;2.1550819925005755;0.86272187726284211
2185;0.028084163457298361;0.042030966676317796;0.37460854813315958;0.016699080178629686;0.028084163457298361;0.014700433578377621;0.042030966676317796;0.0041798658801047456;2.123659146392149;0.84373872794280436
2190;0.02523511916921594;0.041403183602653666;0.41067491253682364;0.016330739355801975;0.02523511916921594;0.014451098630418536;0.041403183602653666;0.0040876682727444581;2.0919397411116565;0.82512791740847458
2195;0.022675129936159218;0.040770615077141872;0.4500567459826188;0.015969648495366796;0.022675129936159218;0.01420238056215746;0.040770615077141872;0.0039972853683565759;2.0599785458037259;0.80688341890937509
2200;0.019004214103272809;0.039530220231072416;0.52065388833087978;0.015795826801076888;0.019004214103272809;0.01384839486947885;0.039530220231072416;0.0039537769019373191;1.9973062813212319;0.79810089354509095
2205;0.017041553244789377;0.037470627951996349;0.55036599450521972;0.014760810352982026;0.017041553244789377;0.01307379834723869;0.037470627951996349;0.0036947069477565302;1.8932431981430144;0.74580559033234251
2210;0.01528346919938541;0.035507853158977018;0.58153019000388717;0.013779362616253992;0.01528346919938541;0.01233684426570337;0.035507853158977018;0.0034490455182662159;1.7940719210795237;0.69621690304710016
